"confidenc","lat","lon","area_m2","perimeter","date","year","class","length","width","peak.breeding"
0.993702153565178,37.1130160945745,-122.32879934996,1.76162233413445,5.96133221303746,2016-01-25,"2016","female",2.70658010409583,0.926574592785874,"Y"
0.994038996659847,37.1130535354999,-122.328871533703,1.79338683299307,6.0469213219201,2016-01-25,"2016","female",2.68398983487227,0.993658397632772,"Y"
0.991526773122242,37.1130690638367,-122.328898165268,1.58670023551091,5.54259138112172,2016-01-25,"2016","female",2.47660207940997,0.90114827802257,"Y"
0.993283845297535,37.1130792795623,-122.328830423992,1.63652258684961,5.63314418799545,2016-01-25,"2016","female",2.53645107023085,0.915574288620137,"Y"
0.993379200319075,37.1130871126335,-122.328877065972,1.54144676054015,5.84352984984821,2016-01-25,"2016","female",2.68324347559441,0.815616774593434,"Y"
0.987011701726862,37.1131112889562,-122.328887185232,1.57516932217379,5.55705835016286,2016-01-25,"2016","female",2.47324976502816,0.887416791851371,"Y"
0.994089653627949,37.1131099091053,-122.32884673736,2.89557024548758,9.32909247698165,2016-01-25,"2016","male",3.36905255821265,1.02663034008755,"Y"
0.995192093097402,37.113118194333,-122.328927801699,2.81115510700157,8.58873009975538,2016-01-25,"2016","male",2.97146294200833,1.34933400775588,"Y"
0.993129364421825,37.1131204189421,-122.32881656324,1.38110150508109,5.49636909597644,2016-01-25,"2016","female",2.50465850387072,0.789322618581147,"Y"
0.993813479428663,37.1131255935324,-122.328883329609,1.52164839358172,5.73269655768815,2016-01-25,"2016","female",2.5234337883013,0.818282386423056,"Y"
0.994385419365984,37.1131386834422,-122.328835597107,1.37326922344388,5.50346766087429,2016-01-25,"2016","female",2.48083222582459,0.775177951008862,"Y"
0.992929236689154,37.1131454342902,-122.329029636069,2.86663417888359,7.70364330074196,2016-01-25,"2016","male",3.52221708394279,1.16664476124852,"Y"
0.994007110208228,37.1131526318713,-122.328945389588,1.8060056449133,6.0523250725068,2016-01-25,"2016","female",2.69354368976578,0.940410040963638,"Y"
0.992938231613046,37.1131598636091,-122.32883789672,1.83624716242596,6.22422429974741,2016-01-25,"2016","female",2.81091931032509,0.931653266645457,"Y"
0.986937744616037,37.1131677681938,-122.328880527106,1.37718539815919,5.51717072306139,2016-01-25,"2016","female",2.50743559458406,0.782901280482679,"Y"
0.993353009360724,37.1131691404063,-122.328810811258,1.8445146521348,6.06189622397641,2016-01-25,"2016","female",2.724468916968,1.01975038299815,"Y"
0.993523239587806,37.1131657232099,-122.328986030623,1.97875212028395,6.41247685793325,2016-01-25,"2016","female",2.96453392039573,0.97506084780011,"Y"
0.992639282773763,37.1131932988395,-122.328894304111,1.46421131054468,5.45469877573553,2016-01-25,"2016","female",2.38127385275285,0.842244365012139,"Y"
0.994317822651449,37.1131953605526,-122.328863386675,1.53905362464713,5.58472630528632,2016-01-25,"2016","female",2.45868274963121,0.888497034894724,"Y"
0.995018328127711,37.1132001319999,-122.328822582146,1.66524123275486,6.17918847432244,2016-01-25,"2016","female",2.82969586872843,0.858627896103024,"Y"
0.994716189940731,37.1132060089988,-122.328806051953,1.5357901551833,5.50528606476985,2016-01-25,"2016","female",2.33107179709474,0.909934754131826,"Y"
0.993057658707047,37.1132101587838,-122.328899611487,1.41156063026544,5.59288566794421,2016-01-25,"2016","female",2.55035002173138,0.785391602016678,"Y"
0.991868640551989,37.1132198396143,-122.328848478836,1.65109951861785,5.84383382464482,2016-01-25,"2016","female",2.4881641556765,0.865356141390356,"Y"
0.993659940720474,37.1132275842166,-122.328815327061,1.55950468789273,5.65970925070532,2016-01-25,"2016","female",2.57443564574704,0.76677454909613,"Y"
0.994057639598437,37.1132284395597,-122.328880894473,1.65871429857526,5.72428849298971,2016-01-25,"2016","female",2.55308447728887,0.900101262309492,"Y"
0.995104580396343,37.1132355140158,-122.328968452181,3.43491361636845,10.1967058436946,2016-01-25,"2016","male",4.63734410752113,1.00011760129309,"Y"
0.99495144149129,37.1132418358241,-122.328914302622,1.44354268382579,5.47621928502346,2016-01-25,"2016","female",2.4281175032324,0.850406506332487,"Y"
0.985271304566038,37.113256509068,-122.328863085838,1.55384808949176,5.52545749340492,2016-01-25,"2016","female",2.50000039999896,0.917541921824102,"Y"
0.994064881601282,37.1132617276446,-122.328989730301,1.80230710316826,5.93066058769177,2016-01-25,"2016","female",2.66984704529311,0.940670712746357,"Y"
0.994660437091503,37.1132639422233,-122.328894712814,1.7629278781467,6.07169553188994,2016-01-25,"2016","female",2.75449106882876,0.926083431761348,"Y"
0.9925142905728,37.1132660326928,-122.328946960373,2.75393570468643,9.61328102481554,2016-01-25,"2016","male",4.32768446877863,0.972877398523904,"Y"
0.992771679213251,37.1132621656825,-122.32879964733,2.68409736621615,10.1210782775411,2016-01-25,"2016","male",3.78844699893776,1.04154708832206,"Y"
0.993538848968832,37.1132750353851,-122.329012961374,3.4349136645255,8.39736127524385,2016-01-25,"2016","male",3.86565486231046,1.29695640697757,"Y"
0.994022810918089,37.1132787416283,-122.328972433911,1.43962654091693,5.2873800135337,2016-01-25,"2016","female",2.35562092333105,0.860890488812454,"Y"
0.991954108251119,37.1132872743134,-122.328935420308,1.45833712013498,5.52624490220716,2016-01-25,"2016","female",2.47180691730236,0.836924586544307,"Y"
0.992924880882796,37.113280515154,-122.328903565589,2.55812738043684,9.97786616039588,2016-01-25,"2016","male",3.0675982990577,1.07745175217679,"Y"
0.994907520007412,37.1133183859263,-122.329002187926,1.56581410924807,5.69511989227102,2016-01-25,"2016","female",2.56950488821273,0.88314165049857,"Y"
