"","Year","NPGO","PDO","SOI"
"1",1950,-0.766430556666667,-1.99416666666667,NA
"2",1951,-0.961180174166667,-0.9625,-0.275
"3",1952,-0.6394242,-1.22166666666667,-0.00833333333333334
"4",1953,1.08228094666667,-0.3975,-0.408333333333333
"5",1954,0.207065489666667,-0.3275,0.45
"6",1955,-0.074898058,-1.89083333333333,1.025
"7",1956,0.0699519816666667,-1.74083333333333,1.09166666666667
"8",1957,-1.14730695416667,0.226666666666667,-0.175
"9",1958,-0.547807001666667,0.94,-0.15
"10",1959,-0.20346100825,0.355833333333333,0.141666666666667
"11",1960,0.747739953333333,0.241666666666667,0.5
"12",1961,0.970684513333333,-0.355,0.183333333333333
"13",1962,-0.0934241255833334,-1.08416666666667,0.533333333333333
"14",1963,-0.234721501666667,-0.264166666666667,-0.0416666666666667
"15",1964,0.544102425166667,-0.795833333333333,0.616666666666667
"16",1965,-0.837212700833333,-0.0716666666666666,-0.508333333333333
"17",1966,-0.9563561925,-0.280833333333333,-0.216666666666667
"18",1967,-0.699724801116667,-0.814166666666667,0.475
"19",1968,-0.850601763333333,-0.100833333333333,0.391666666666667
"20",1969,-0.387628509,0.0566666666666667,-0.35
"21",1970,0.0610431538333333,-0.1975,0.475
"22",1971,0.381984270666667,-1.1075,1.10833333333333
"23",1972,-0.659303725833333,-0.818333333333333,-0.483333333333333
"24",1973,0.126585564416667,-0.629166666666667,0.741666666666667
"25",1974,-0.00931021661666667,-0.244166666666667,1.1
"26",1975,0.798500536666667,-1.12083333333333,1.33333333333333
"27",1976,1.86321135,0.135,0.316666666666667
"28",1977,1.24927034083333,0.408333333333333,-0.633333333333333
"29",1978,0.504466635833333,0.324166666666667,-0.0666666666666667
"30",1979,-0.737188575,0.404166666666667,0.141666666666667
"31",1980,-0.749107275833333,0.7425,-0.0666666666666667
"32",1981,-0.221840562241667,1.08583333333333,0.241666666666667
"33",1982,-0.686691380833333,0.183333333333333,-0.875
"34",1983,-0.09206469425,1.65083333333333,-0.758333333333333
"35",1984,0.620750036666667,0.845,0.141666666666667
"36",1985,-0.393901047083333,0.333333333333333,0.283333333333333
"37",1986,-0.732847288333333,1.21916666666667,-0.0833333333333334
"38",1987,0.429174729166667,1.79416666666667,-0.933333333333333
"39",1988,1.32363676333333,0.526666666666667,0.816666666666667
"40",1989,0.612240616666667,-0.28,0.708333333333333
"41",1990,-0.201546121083333,-0.408333333333333,-0.116666666666667
"42",1991,-0.498914711166667,-0.57,-0.575
"43",1992,-1.09491887,1.01,-0.825
"44",1993,-1.90199258833333,1.3075,-0.65
"45",1994,-1.2115987825,-0.206666666666667,-0.825
"46",1995,-1.03920854583333,0.8725,-0.0166666666666667
"47",1996,-0.972836611666667,0.828333333333333,0.675
"48",1997,-0.657690615833333,1.60083333333333,-0.733333333333333
"49",1998,0.544553282666667,0.2925,-0.0250000000000001
"50",1999,1.51578051666667,-1.18083333333333,0.85
"51",2000,1.88586129166667,-0.6425,0.85
"52",2001,2.080693375,-0.4475,0.258333333333333
"53",2002,1.47359396,0.124166666666667,-0.325
"54",2003,0.958507189166667,0.805833333333333,-0.0916666666666666
"55",2004,0.209460249333333,0.0616666666666667,-0.258333333333333
"56",2005,-1.46910066666667,0.101666666666667,-0.183333333333333
"57",2006,-0.549937136666667,0.163333333333333,0.025
"58",2007,0.57946462175,-0.195,0.266666666666667
"59",2008,1.49285563583333,-1.11333333333333,1.125
"60",2009,0.640582339916667,-0.489166666666667,0.166666666666667
"61",2010,1.28960188,-0.375833333333333,0.908333333333333
"62",2011,0.789645074416667,-1.39333333333333,1.4
"63",2012,1.422745935,-1.09416666666667,0.133333333333333
"64",2013,0.363238281666667,-0.799166666666667,0.45
"65",2014,-0.196416375,0.6875,-0.133333333333333
"66",2015,-1.38072873416667,1.1925,-0.791666666666667
"67",2016,-0.160319035833333,1.10833333333333,-0.191666666666667
"68",2017,-0.859133045333333,0.335833333333333,0.358333333333333
"69",2018,-1.96429333333333,-0.125833333333333,0.266666666666667
"70",2019,-2.2790696025,0.1575,-0.5
"71",2020,-1.842908675,-0.849166666666667,0.466666666666667
"72",2021,-0.91261911675,-1.40166666666667,0.916666666666667
"73",2022,-1.26214037083333,-1.72916666666667,1.30833333333333
"74",2023,-1.68065490416667,-1.6025,-0.116666666666667
"75",2024,-1.966609425,-1.74083333333333,0.175
"76",2025,-2.19784983333333,NA,NA
